salary,gender,age,height,pts,ast,usg_p,foreign
1517981,0,22,73,4.8,2.4,0.148,0
1517981,0,22,78,0.5,0.3,0.146,0
1517981,0,24,84,3.4,0.3,0.145,1
1517981,0,24,79,3.5,0.8,0.184,0
1517981,0,23,80,8.2,1.0,0.188,0
1517981,0,20,75,2.8,0.2,0.213,0
1517981,0,22,76,4.3,0.7,0.141,0
1517981,0,23,77,3.3,0.4,0.167,0
1517981,0,21,78,3.8,0.8,0.143,0
1500000,0,20,81,1.8,0.1,0.231,0
1489065,0,22,74,5.1,2.4,0.171,0
1489065,0,23,83,6.2,1.1,0.192,1
1366392,0,29,80,10.2,1.1,0.175,1
1250000,0,19,81,2.3,0.5,0.137,0
1093598,0,25,77,11.7,0.9,0.146,0
1090007,0,29,79,3.9,0.3,0.149,0
1057260,0,23,78,0.0,0.0,0.273,0
958529,0,24,81,5.9,0.6,0.22,0
925258,0,21,80,0.7,0.0,0.154,1
925258,0,21,73,1.9,1.2,0.179,0
925258,0,22,83,1.9,0.0,0.247,1
925258,0,26,83,4.7,0.9,0.172,1
925258,0,21,75,3.7,1.0,0.243,0
925258,0,20,79,2.0,0.2,0.201,0
925258,0,22,79,3.7,1.7,0.172,1
925258,0,21,81,2.9,0.3,0.149,1
925258,0,20,78,7.0,0.9,0.209,0
925258,0,22,76,7.8,2.5,0.134,0
663024,0,25,76,4.2,0.7,0.178,0
85578,0,25,81,0.0,0.7,0.189,0
221450,1,41,69,10.0,5.3,0.164,0
221450,1,31,69,17.7,5.3,0.238,0
221450,1,30,80,14.2,1.3,0.248,1
221450,1,32,77,13.7,0.7,0.276,0
221450,1,39,72,15.2,4.9,0.255,0
221450,1,34,76,15.2,3.4,0.234,0
221450,1,31,81,20.5,2.7,0.257,0
215000,1,30,74,16.2,1.7,0.296,0
209550,1,28,72,16.8,5.2,0.254,0
200000,1,32,68,10.5,8.6,0.182,0
200000,1,29,74,5.5,2.0,0.215,0
194000,1,35,70,13.2,2.3,0.218,0
190550,1,31,74,14.5,2.7,0.211,0
190550,1,35,67,9.4,2.9,0.172,0
190550,1,29,71,13.7,2.3,0.175,0
190550,1,28,78,19.4,2.8,0.263,0
190550,1,27,68,16.5,4.0,0.243,0
190550,1,29,71,11.1,5.9,0.202,0
190550,1,29,69,3.7,0.8,0.181,0
190550,1,27,76,20.3,2.7,0.266,0
190550,1,35,73,0.0,0.0,1.0,0
190550,1,28,71,13.4,2.1,0.285,0
190000,1,29,69,8.7,6.4,0.151,0
190000,1,35,76,13.3,4.0,0.237,0
185000,1,32,69,10.6,4.0,0.194,0
185000,1,29,76,10.2,1.2,0.219,0
180000,1,30,67,13.6,4.8,0.245,0
175100,1,31,74,2.5,0.3,0.159,0
175100,1,27,66,5.4,2.5,0.162,0
175000,1,33,76,23.4,2.1,0.311,0
175000,1,30,77,7.5,1.3,0.169,0
175000,1,27,68,14.8,3.6,0.241,0
175000,1,33,76,6.4,1.5,0.183,0
165000,1,27,73,14.4,1.8,0.213,0
164500,1,29,75,3.7,1.2,0.15,1
160000,1,27,72,11.9,1.7,0.187,0
155000,1,32,69,9.9,3.7,0.181,0
154500,1,28,75,10.9,1.1,0.197,0
152300,1,28,75,11.6,1.7,0.196,0
150350,1,33,70,11.7,2.7,0.175,1
145000,1,33,74,5.8,2.0,0.189,0
144200,1,27,69,12.0,2.0,0.204,0
142000,1,37,74,6.4,0.7,0.193,0
140000,1,30,75,4.9,0.6,0.164,0
135000,1,28,77,9.2,1.0,0.207,1
126000,1,29,75,7.7,2.3,0.179,1
123500,1,36,65,6.4,2.5,0.133,0
121500,1,28,70,17.9,3.8,0.264,0
121500,1,35,68,7.0,3.1,0.121,0
120000,1,30,69,9.9,5.4,0.211,0
120000,1,26,75,14.7,1.8,0.209,0
119780,1,32,70,14.7,3.0,0.218,0
119000,1,28,75,5.8,1.2,0.118,0
117894,1,36,78,16.0,1.4,0.212,0
115000,1,34,69,5.8,1.7,0.182,0
113000,1,29,75,7.0,1.1,0.187,0
111520,1,29,68,8.7,3.6,0.204,0
110000,1,35,76,4.6,1.3,0.177,0
110000,1,27,69,9.4,2.2,0.173,0
108421,1,27,77,6.6,0.4,0.179,1
105037,1,29,74,9.2,1.1,0.185,1
91250,1,31,67,10.5,1.6,0.155,0
89200,1,29,73,7.5,1.5,0.126,0
80000,1,26,72,4.4,1.6,0.121,0
72000,1,26,74,4.1,0.6,0.126,0
70040,1,29,77,6.4,1.4,0.197,0
70040,1,27,74,5.7,1.6,0.161,1
70040,1,35,70,4.3,1.6,0.15,0
70040,1,26,73,8.3,0.9,0.158,0
70040,1,25,73,12.9,2.5,0.259,0
70040,1,25,76,8.1,1.0,0.157,0
